# From https://gist.github.com/PawelGerr/cb5886ee26c41ae2386b

.123 application/vnd.lotus-1-2-3
.323 text/h323
.3dml text/vnd.in3d.3dml
.3ds image/x-3ds
.3g2 video/3gpp2
.3gp video/3gpp
.3gp2 video/3gpp2
.3gpp video/3gpp
.7z application/x-7z-compressed
.aa audio/audible
.aab application/x-authorware-bin
.aac audio/x-aac
.aaf application/octet-stream
.aam application/x-authorware-map
.aas application/x-authorware-seg
.aax audio/vnd.audible.aax
.abw application/x-abiword
.ac application/pkix-attr-cert
.ac3 audio/ac3
.aca application/octet-stream
.acc application/vnd.americandynamics.acc
.accda application/msaccess.addin
.accdb application/msaccess
.accdc application/msaccess.cab
.accde application/msaccess
.accdr application/msaccess.runtime
.accdt application/msaccess
.accdw application/msaccess.webapplication
.accft application/msaccess.ftemplate
.ace application/x-ace-compressed
.acu application/vnd.acucobol
.acutc application/vnd.acucorp
.acx application/internet-property-stream
.AddIn text/xml
.ade application/msaccess
.adobebridge application/x-bridge-url
.adp audio/adpcm
.ADT audio/vnd.dlna.adts
.ADTS audio/aac
.aep application/vnd.audiograph
.afm application/x-font-type1
.afp application/vnd.ibm.modcap
.ahead application/vnd.ahead.space
.ai application/postscript
.aif audio/x-aiff
.aifc audio/x-aiff
.aiff audio/x-aiff
.air application/vnd.adobe.air-application-installer-package+zip
.ait application/vnd.dvb.ait
.amc application/x-mpeg
.ami application/vnd.amiga.ami
.apk application/vnd.android.package-archive
.appcache text/cache-manifest
.application application/x-ms-application
.apr application/vnd.lotus-approach
.arc application/x-freearc
.art image/x-jg
.asa application/xml
.asax application/xml
.asc application/pgp-signature
.ascx application/xml
.asd application/octet-stream
.asf video/x-ms-asf
.ashx application/xml
.asi application/octet-stream
.asm text/x-asm
.asmx application/xml
.aso application/vnd.accpac.simply.aso
.aspx application/xml
.asr video/x-ms-asf
.asx video/x-ms-asf
.atc application/vnd.acucorp
.atom application/atom+xml
.atomcat application/atomcat+xml
.atomsvc application/atomsvc+xml
.atx application/vnd.antix.game-component
.au audio/basic
.avi video/x-msvideo
.aw application/applixware
.axs application/olescript
.azf application/vnd.airzip.filesecure.azf
.azs application/vnd.airzip.filesecure.azs
.azw application/vnd.amazon.ebook
.bas text/plain
.bat application/x-msdownload
.bcpio application/x-bcpio
.bdf application/x-font-bdf
.bdm application/vnd.syncml.dm+wbxml
.bed application/vnd.realvnc.bed
.bh2 application/vnd.fujitsu.oasysprs
.bin application/octet-stream
.blb application/x-blorb
.blorb application/x-blorb
.bmi application/vnd.bmi
.bmp image/bmp
.book application/vnd.framemaker
.box application/vnd.previewsystems.box
.boz application/x-bzip2
.bpk application/octet-stream
.btif image/prs.btif
.bz application/x-bzip
.bz2 application/x-bzip2
.c text/x-c
.c11amc application/vnd.cluetrust.cartomobile-config
.c11amz application/vnd.cluetrust.cartomobile-config-pkg
.c4d application/vnd.clonk.c4group
.c4f application/vnd.clonk.c4group
.c4g application/vnd.clonk.c4group
.c4p application/vnd.clonk.c4group
.c4u application/vnd.clonk.c4group
.cab application/vnd.ms-cab-compressed
.caf audio/x-caf
.calx application/vnd.ms-office.calx
.cap application/vnd.tcpdump.pcap
.car application/vnd.curl.car
.cat application/vnd.ms-pki.seccat
.cb7 application/x-cbr
.cba application/x-cbr
.cbr application/x-cbr
.cbt application/x-cbr
.cbz application/x-cbr
.cc text/x-c
.cct application/x-director
.ccxml application/ccxml+xml
.cd text/plain
.cdbcmsg application/vnd.contact.cmsg
.cdda audio/aiff
.cdf application/x-netcdf
.cdkey application/vnd.mediastation.cdkey
.cdmia application/cdmi-capability
.cdmic application/cdmi-container
.cdmid application/cdmi-domain
.cdmio application/cdmi-object
.cdmiq application/cdmi-queue
.cdx chemical/x-cdx
.cdxml application/vnd.chemdraw+xml
.cdy application/vnd.cinderella
.cer application/pkix-cert
.cfs application/x-cfs-compressed
.cgm image/cgm
.chat application/x-chat
.chm application/vnd.ms-htmlhelp
.chrt application/vnd.kde.kchart
.cif chemical/x-cif
.cii application/vnd.anser-web-certificate-issue-initiation
.cil application/vnd.ms-artgalry
.cla application/vnd.claymore
.class application/java-vm
.clkk application/vnd.crick.clicker.keyboard
.clkp application/vnd.crick.clicker.palette
.clkt application/vnd.crick.clicker.template
.clkw application/vnd.crick.clicker.wordbank
.clkx application/vnd.crick.clicker
.clp application/x-msclip
.cmc application/vnd.cosmocaller
.cmdf chemical/x-cmdf
.cml chemical/x-cml
.cmp application/vnd.yellowriver-custom-menu
.cmx image/x-cmx
.cnf text/plain
.cod application/vnd.rim.cod
.com application/x-msdownload
.conf text/plain
.config application/xml
.contact text/x-ms-contact
.coverage application/xml
.cpio application/x-cpio
.cpp text/x-c
.cpt application/mac-compactpro
.crd application/x-mscardfile
.crl application/pkix-crl
.crt application/x-x509-ca-cert
.cryptonote application/vnd.rig.cryptonote
.cs text/plain
.csdproj text/plain
.csh application/x-csh
.csml chemical/x-csml
.csp application/vnd.commonspace
.csproj text/plain
.css text/css
.cst application/x-director
.csv text/csv
.cu application/cu-seeme
.cur application/octet-stream
.curl text/vnd.curl
.cww application/prs.cww
.cxt application/x-director
.cxx text/x-c
.dae model/vnd.collada+xml
.daf application/vnd.mobius.daf
.dart application/vnd.dart
.dat application/octet-stream
.dataless application/vnd.fdsn.seed
.datasource application/xml
.davmount application/davmount+xml
.dbk application/docbook+xml
.dbproj text/plain
.dcr application/x-director
.dcurl text/vnd.curl.dcurl
.dd2 application/vnd.oma.dd2+xml
.ddd application/vnd.fujixerox.ddd
.deb application/x-debian-package
.def text/plain
.deploy application/octet-stream
.der application/x-x509-ca-cert
.dfac application/vnd.dreamfactory
.dgc application/x-dgc-compressed
.dgml application/xml
.dib image/bmp
.dic text/x-c
.dif video/x-dv
.dir application/x-director
.dis application/vnd.mobius.dis
.disco text/xml
.dist application/octet-stream
.distz application/octet-stream
.djv image/vnd.djvu
.djvu image/vnd.djvu
.dll application/x-msdownload
.dll.config text/xml
.dlm text/dlm
.dmg application/x-apple-diskimage
.dmp application/vnd.tcpdump.pcap
.dms application/octet-stream
.dna application/vnd.dna
.doc application/msword
.docm application/vnd.ms-word.document.macroenabled.12
.docx application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dot application/msword
.dotm application/vnd.ms-word.template.macroenabled.12
.dotx application/vnd.openxmlformats-officedocument.wordprocessingml.template
.dp application/vnd.osgi.dp
.dpg application/vnd.dpgraph
.dra audio/vnd.dra
.dsc text/prs.lines.tag
.dsp application/octet-stream
.dssc application/dssc+der
.dsw text/plain
.dtb application/x-dtbook+xml
.dtd application/xml-dtd
.dts audio/vnd.dts
.dtsConfig text/xml
.dtshd audio/vnd.dts.hd
.dump application/octet-stream
.dv video/x-dv
.dvb video/vnd.dvb.file
.dvi application/x-dvi
.dwf model/vnd.dwf
.dwg image/vnd.dwg
.dwp application/octet-stream
.dxf image/vnd.dxf
.dxp application/vnd.spotfire.dxp
.dxr application/x-director
.ecelp4800 audio/vnd.nuera.ecelp4800
.ecelp7470 audio/vnd.nuera.ecelp7470
.ecelp9600 audio/vnd.nuera.ecelp9600
.ecma application/ecmascript
.edm application/vnd.novadigm.edm
.edx application/vnd.novadigm.edx
.efif application/vnd.picsel
.ei6 application/vnd.pg.osasli
.elc application/octet-stream
.emf application/x-msmetafile
.eml message/rfc822
.emma application/emma+xml
.emz application/x-msmetafile
.eol audio/vnd.digital-winds
.eot application/vnd.ms-fontobject
.eps application/postscript
.epub application/epub+zip
.es3 application/vnd.eszigno3+xml
.esa application/vnd.osgi.subsystem
.esf application/vnd.epson.esf
.et3 application/vnd.eszigno3+xml
.etl application/etl
.etx text/x-setext
.eva application/x-eva
.evy application/x-envoy
.exe application/x-msdownload
.exe.config text/xml
.exi application/exi
.ext application/vnd.novadigm.ext
.ez application/andrew-inset
.ez2 application/vnd.ezpix-album
.ez3 application/vnd.ezpix-package
.f text/x-fortran
.f4v video/x-f4v
.f77 text/x-fortran
.f90 text/x-fortran
.fbs image/vnd.fastbidsheet
.fcdt application/vnd.adobe.formscentral.fcdt
.fcs application/vnd.isac.fcs
.fdf application/vnd.fdf
.fe_launch application/vnd.denovo.fcselayout-link
